linea_credito,clave_municipio,clave_estado,ano,estado,municipio,modalidad,acciones,monto
Linea II,001,01,2015,Aguascalientes,Aguascalientes,Nueva,3624,977501254.43
Linea II,001,01,2015,Aguascalientes,Aguascalientes,Existente,2140,607393646.18
Linea III,001,01,2015,Aguascalientes,Aguascalientes,Con disponibilidad de terreno,3,1847969.85
Linea IV,001,01,2015,Aguascalientes,Aguascalientes,Ampliación y rehabilitación,3849,3430691.01
Linea V,001,01,2015,Aguascalientes,Aguascalientes,Pago de pasivos,21,6338992.8
Linea II,002,01,2015,Aguascalientes,Asientos,Existente,23,6296011.01
Linea IV,002,01,2015,Aguascalientes,Asientos,Ampliación y rehabilitación,254,0.0
Linea II,003,01,2015,Aguascalientes,Calvillo,Nueva,11,2376110.43
Linea II,003,01,2015,Aguascalientes,Calvillo,Existente,6,2135049.72
Linea IV,003,01,2015,Aguascalientes,Calvillo,Ampliación y rehabilitación,37,0.0
Linea II,004,01,2015,Aguascalientes,Cosío,Nueva,14,4067693.31
Linea II,004,01,2015,Aguascalientes,Cosío,Existente,5,1627837.53
Linea IV,004,01,2015,Aguascalientes,Cosío,Ampliación y rehabilitación,183,0.0
Linea II,005,01,2015,Aguascalientes,Jesús María,Nueva,352,98014232.67
Linea II,005,01,2015,Aguascalientes,Jesús María,Existente,245,71978854.65
Linea IV,005,01,2015,Aguascalientes,Jesús María,Ampliación y rehabilitación,361,218523.23
Linea V,005,01,2015,Aguascalientes,Jesús María,Pago de pasivos,2,447397.78
Linea II,006,01,2015,Aguascalientes,Pabellón de Arteaga,Nueva,79,25247563.83
Linea II,006,01,2015,Aguascalientes,Pabellón de Arteaga,Existente,38,9487336.4
Linea IV,006,01,2015,Aguascalientes,Pabellón de Arteaga,Ampliación y rehabilitación,133,0.0
Linea II,007,01,2015,Aguascalientes,Rincón de Romos,Nueva,132,38161837.8
Linea II,007,01,2015,Aguascalientes,Rincón de Romos,Existente,28,9082171.5
Linea IV,007,01,2015,Aguascalientes,Rincón de Romos,Ampliación y rehabilitación,158,0.0
Linea IV,008,01,2015,Aguascalientes,San José de Gracia,Ampliación y rehabilitación,14,0.0
Linea IV,009,01,2015,Aguascalientes,Tepezalá,Ampliación y rehabilitación,80,0.0
Linea II,010,01,2015,Aguascalientes,El Llano,Existente,1,313159.19
Linea IV,010,01,2015,Aguascalientes,El Llano,Ampliación y rehabilitación,95,0.0
Linea II,011,01,2015,Aguascalientes,San Francisco de los Romo,Nueva,629,149268713.69
Linea II,011,01,2015,Aguascalientes,San Francisco de los Romo,Existente,241,60390205.34
Linea IV,011,01,2015,Aguascalientes,San Francisco de los Romo,Ampliación y rehabilitación,167,0.0
Linea II,001,02,2015,Baja California,Ensenada,Nueva,160,55664057.15
Linea II,001,02,2015,Baja California,Ensenada,Existente,799,281618419.27
Linea III,001,02,2015,Baja California,Ensenada,Con disponibilidad de terreno,32,18662258.38
Linea IV,001,02,2015,Baja California,Ensenada,Ampliación y rehabilitación,2828,2527017.61
Linea V,001,02,2015,Baja California,Ensenada,Pago de pasivos,23,8769267.51
Linea II,002,02,2015,Baja California,Mexicali,Nueva,1885,562317598.99
Linea II,002,02,2015,Baja California,Mexicali,Existente,3853,1174965994.32
Linea III,002,02,2015,Baja California,Mexicali,Con disponibilidad de terreno,11,6601231.54
Linea IV,002,02,2015,Baja California,Mexicali,Ampliación y rehabilitación,6603,2973083.58
Linea V,002,02,2015,Baja California,Mexicali,Pago de pasivos,54,20923201.33
Linea II,003,02,2015,Baja California,Tecate,Nueva,25,7688913.39
Linea II,003,02,2015,Baja California,Tecate,Existente,192,74492175.38
Linea III,003,02,2015,Baja California,Tecate,Con disponibilidad de terreno,1,268512.13
Linea IV,003,02,2015,Baja California,Tecate,Ampliación y rehabilitación,489,189379.23
Linea V,003,02,2015,Baja California,Tecate,Pago de pasivos,2,639308.01
Linea II,004,02,2015,Baja California,Tijuana,Nueva,4553,1361407728.37
Linea II,004,02,2015,Baja California,Tijuana,Existente,4545,1531982418.78
Linea III,004,02,2015,Baja California,Tijuana,Con disponibilidad de terreno,67,27955890.82
Linea IV,004,02,2015,Baja California,Tijuana,Ampliación y rehabilitación,13538,2949841.92
Linea V,004,02,2015,Baja California,Tijuana,Pago de pasivos,123,48966869.06
Linea II,005,02,2015,Baja California,Playas de Rosarito,Nueva,120,34500499.12
Linea II,005,02,2015,Baja California,Playas de Rosarito,Existente,28,12971756.75
Linea III,005,02,2015,Baja California,Playas de Rosarito,Con disponibilidad de terreno,4,2273701.94
Linea IV,005,02,2015,Baja California,Playas de Rosarito,Ampliación y rehabilitación,479,0.0
Linea II,001,03,2015,Baja California Sur,Comondú,Nueva,14,4340060.91
Linea II,001,03,2015,Baja California Sur,Comondú,Existente,127,37413911.21
Linea III,001,03,2015,Baja California Sur,Comondú,Con disponibilidad de terreno,6,2114101.7
Linea IV,001,03,2015,Baja California Sur,Comondú,Ampliación y rehabilitación,48,0.0
Linea II,002,03,2015,Baja California Sur,Mulegé,Nueva,18,6804446.43
Linea II,002,03,2015,Baja California Sur,Mulegé,Existente,44,19202831.29
Linea III,002,03,2015,Baja California Sur,Mulegé,Con disponibilidad de terreno,33,15436436.1
Linea IV,002,03,2015,Baja California Sur,Mulegé,Ampliación y rehabilitación,21,454422.56
Linea II,003,03,2015,Baja California Sur,La Paz,Nueva,907,275408836.22
Linea II,003,03,2015,Baja California Sur,La Paz,Existente,588,200862371.27
Linea III,003,03,2015,Baja California Sur,La Paz,Con disponibilidad de terreno,28,10725450.83
Linea IV,003,03,2015,Baja California Sur,La Paz,Ampliación y rehabilitación,1551,4006680.37
Linea V,003,03,2015,Baja California Sur,La Paz,Pago de pasivos,14,5882477.48
Linea II,008,03,2015,Baja California Sur,Los Cabos,Nueva,413,134205632.3
Linea II,008,03,2015,Baja California Sur,Los Cabos,Existente,528,189717478.92
Linea III,008,03,2015,Baja California Sur,Los Cabos,Con disponibilidad de terreno,3,1815123.15
Linea IV,008,03,2015,Baja California Sur,Los Cabos,Ampliación y rehabilitación,5893,1013203.86
Linea V,008,03,2015,Baja California Sur,Los Cabos,Pago de pasivos,31,11436648.91
Linea II,009,03,2015,Baja California Sur,Loreto,Existente,14,4678723.04
Linea IV,009,03,2015,Baja California Sur,Loreto,Ampliación y rehabilitación,4,0.0
Linea II,001,04,2015,Campeche,Calkiní,Existente,19,6749734.66
Linea IV,001,04,2015,Campeche,Calkiní,Ampliación y rehabilitación,206,0.0
Linea II,002,04,2015,Campeche,Campeche,Nueva,185,68092490.8
Linea II,002,04,2015,Campeche,Campeche,Existente,662,218371769.79
Linea III,002,04,2015,Campeche,Campeche,Con disponibilidad de terreno,15,5563680.88
Linea IV,002,04,2015,Campeche,Campeche,Ampliación y rehabilitación,1356,403832.36
Linea V,002,04,2015,Campeche,Campeche,Pago de pasivos,1,352222.13
Linea II,003,04,2015,Campeche,Carmen,Nueva,367,137096569.89
Linea II,003,04,2015,Campeche,Carmen,Existente,161,70728653.04
Linea III,003,04,2015,Campeche,Carmen,Con disponibilidad de terreno,4,2891942.75
Linea IV,003,04,2015,Campeche,Carmen,Ampliación y rehabilitación,494,1026043.47
Linea V,003,04,2015,Campeche,Carmen,Pago de pasivos,1,296461.34
Linea II,004,04,2015,Campeche,Champotón,Existente,45,16009829.3
Linea IV,004,04,2015,Campeche,Champotón,Ampliación y rehabilitación,175,0.0
Linea II,005,04,2015,Campeche,Hecelchakán,Existente,16,5341130.8
Linea III,005,04,2015,Campeche,Hecelchakán,Con disponibilidad de terreno,1,241844.09
Linea IV,005,04,2015,Campeche,Hecelchakán,Ampliación y rehabilitación,46,0.0
Linea II,006,04,2015,Campeche,Hopelchén,Nueva,1,0.0
Linea II,006,04,2015,Campeche,Hopelchén,Existente,5,1607086.14
Linea IV,006,04,2015,Campeche,Hopelchén,Ampliación y rehabilitación,67,0.0
Linea II,007,04,2015,Campeche,Palizada,Existente,5,1790929.1
Linea IV,007,04,2015,Campeche,Palizada,Ampliación y rehabilitación,4,0.0
Linea II,008,04,2015,Campeche,Tenabo,Nueva,22,4818773.22
Linea II,008,04,2015,Campeche,Tenabo,Existente,8,3331853.17
Linea IV,008,04,2015,Campeche,Tenabo,Ampliación y rehabilitación,48,152444.28
Linea II,009,04,2015,Campeche,Escárcega,Existente,34,13392592.07
Linea IV,009,04,2015,Campeche,Escárcega,Ampliación y rehabilitación,12,0.0
Linea IV,010,04,2015,Campeche,Calakmul,Ampliación y rehabilitación,1,0.0
Linea II,011,04,2015,Campeche,Candelaria,Existente,1,517954.81
Linea IV,011,04,2015,Campeche,Candelaria,Ampliación y rehabilitación,9,0.0
Linea II,001,05,2015,Coahuila de Zaragoza,Abasolo,Existente,2,855068.03
Linea IV,001,05,2015,Coahuila de Zaragoza,Abasolo,Ampliación y rehabilitación,1,0.0
Linea II,002,05,2015,Coahuila de Zaragoza,Acuña,Nueva,883,217360943.88
Linea II,002,05,2015,Coahuila de Zaragoza,Acuña,Existente,819,222258505.31
Linea III,002,05,2015,Coahuila de Zaragoza,Acuña,Con disponibilidad de terreno,1,1050755.75
Linea IV,002,05,2015,Coahuila de Zaragoza,Acuña,Ampliación y rehabilitación,2902,0.0
Linea V,002,05,2015,Coahuila de Zaragoza,Acuña,Pago de pasivos,1,279552.59
Linea II,003,05,2015,Coahuila de Zaragoza,Allende,Nueva,56,14627758.07
Linea II,003,05,2015,Coahuila de Zaragoza,Allende,Existente,18,6458867.52
Linea III,003,05,2015,Coahuila de Zaragoza,Allende,Con disponibilidad de terreno,2,1451910.94
Linea IV,003,05,2015,Coahuila de Zaragoza,Allende,Ampliación y rehabilitación,40,0.0
Linea II,004,05,2015,Coahuila de Zaragoza,Arteaga,Nueva,85,30498877.3
Linea II,004,05,2015,Coahuila de Zaragoza,Arteaga,Existente,11,3713921.82
Linea III,004,05,2015,Coahuila de Zaragoza,Arteaga,Con disponibilidad de terreno,1,1028823.5
Linea IV,004,05,2015,Coahuila de Zaragoza,Arteaga,Ampliación y rehabilitación,76,0.0
Linea II,005,05,2015,Coahuila de Zaragoza,Candela,Existente,2,966784.03
Linea IV,005,05,2015,Coahuila de Zaragoza,Candela,Ampliación y rehabilitación,2,0.0
Linea II,006,05,2015,Coahuila de Zaragoza,Castaños,Nueva,47,10361635.41
Linea II,006,05,2015,Coahuila de Zaragoza,Castaños,Existente,228,74403281.25
Linea IV,006,05,2015,Coahuila de Zaragoza,Castaños,Ampliación y rehabilitación,740,0.0
Linea II,007,05,2015,Coahuila de Zaragoza,Cuatro Ciénegas,Existente,62,18609791.58
Linea IV,007,05,2015,Coahuila de Zaragoza,Cuatro Ciénegas,Ampliación y rehabilitación,11,0.0
Linea II,008,05,2015,Coahuila de Zaragoza,Escobedo,Existente,3,695119.3
Linea IV,008,05,2015,Coahuila de Zaragoza,Escobedo,Ampliación y rehabilitación,4,0.0
Linea II,009,05,2015,Coahuila de Zaragoza,Francisco I. Madero,Nueva,320,80454906.44
Linea II,009,05,2015,Coahuila de Zaragoza,Francisco I. Madero,Existente,38,10267093.89
Linea IV,009,05,2015,Coahuila de Zaragoza,Francisco I. Madero,Ampliación y rehabilitación,711,0.0
Linea II,010,05,2015,Coahuila de Zaragoza,Frontera,Nueva,205,67038964.2
Linea II,010,05,2015,Coahuila de Zaragoza,Frontera,Existente,575,191969312.89
Linea IV,010,05,2015,Coahuila de Zaragoza,Frontera,Ampliación y rehabilitación,1339,0.0
Linea II,011,05,2015,Coahuila de Zaragoza,General Cepeda,Existente,6,2393406.65
Linea IV,011,05,2015,Coahuila de Zaragoza,General Cepeda,Ampliación y rehabilitación,65,0.0
Linea IV,012,05,2015,Coahuila de Zaragoza,Guerrero,Ampliación y rehabilitación,1,0.0
Linea IV,014,05,2015,Coahuila de Zaragoza,Jiménez,Ampliación y rehabilitación,126,0.0
Linea II,016,05,2015,Coahuila de Zaragoza,Lamadrid,Existente,6,2014868.0
Linea IV,016,05,2015,Coahuila de Zaragoza,Lamadrid,Ampliación y rehabilitación,20,0.0
Linea II,017,05,2015,Coahuila de Zaragoza,Matamoros,Nueva,270,62946375.74
Linea II,017,05,2015,Coahuila de Zaragoza,Matamoros,Existente,220,60231112.21
Linea IV,017,05,2015,Coahuila de Zaragoza,Matamoros,Ampliación y rehabilitación,973,0.0
Linea II,018,05,2015,Coahuila de Zaragoza,Monclova,Nueva,540,158831809.35
Linea II,018,05,2015,Coahuila de Zaragoza,Monclova,Existente,1380,482569442.5
Linea IV,018,05,2015,Coahuila de Zaragoza,Monclova,Ampliación y rehabilitación,2931,719049.73
Linea V,018,05,2015,Coahuila de Zaragoza,Monclova,Pago de pasivos,4,1874786.15
Linea II,019,05,2015,Coahuila de Zaragoza,Morelos,Nueva,8,2091886.37
Linea II,019,05,2015,Coahuila de Zaragoza,Morelos,Existente,5,1506414.43
Linea IV,019,05,2015,Coahuila de Zaragoza,Morelos,Ampliación y rehabilitación,14,0.0
Linea II,020,05,2015,Coahuila de Zaragoza,Múzquiz,Nueva,120,30086978.28
Linea II,020,05,2015,Coahuila de Zaragoza,Múzquiz,Existente,269,81088243.38
Linea IV,020,05,2015,Coahuila de Zaragoza,Múzquiz,Ampliación y rehabilitación,191,0.0
Linea II,021,05,2015,Coahuila de Zaragoza,Nadadores,Nueva,36,9402598.59
Linea II,021,05,2015,Coahuila de Zaragoza,Nadadores,Existente,57,17903313.13
Linea IV,021,05,2015,Coahuila de Zaragoza,Nadadores,Ampliación y rehabilitación,88,0.0
Linea II,022,05,2015,Coahuila de Zaragoza,Nava,Nueva,151,38108589.48
Linea II,022,05,2015,Coahuila de Zaragoza,Nava,Existente,58,18132484.34
Linea IV,022,05,2015,Coahuila de Zaragoza,Nava,Ampliación y rehabilitación,56,0.0
Linea II,023,05,2015,Coahuila de Zaragoza,Ocampo,Existente,16,4906149.12
Linea IV,023,05,2015,Coahuila de Zaragoza,Ocampo,Ampliación y rehabilitación,45,0.0
Linea II,024,05,2015,Coahuila de Zaragoza,Parras,Nueva,40,11028341.89
Linea II,024,05,2015,Coahuila de Zaragoza,Parras,Existente,111,32285791.36
Linea IV,024,05,2015,Coahuila de Zaragoza,Parras,Ampliación y rehabilitación,38,0.0
Linea II,025,05,2015,Coahuila de Zaragoza,Piedras Negras,Nueva,801,228462157.78
Linea II,025,05,2015,Coahuila de Zaragoza,Piedras Negras,Existente,333,99235968.2
Linea III,025,05,2015,Coahuila de Zaragoza,Piedras Negras,Con disponibilidad de terreno,2,965023.94
Linea IV,025,05,2015,Coahuila de Zaragoza,Piedras Negras,Ampliación y rehabilitación,826,0.0
Linea V,025,05,2015,Coahuila de Zaragoza,Piedras Negras,Pago de pasivos,3,986160.57
Linea II,026,05,2015,Coahuila de Zaragoza,Progreso,Existente,3,1028631.52
Linea IV,026,05,2015,Coahuila de Zaragoza,Progreso,Ampliación y rehabilitación,13,0.0
Linea II,027,05,2015,Coahuila de Zaragoza,Ramos Arizpe,Nueva,1103,314507332.35
Linea II,027,05,2015,Coahuila de Zaragoza,Ramos Arizpe,Existente,345,113331179.01
Linea III,027,05,2015,Coahuila de Zaragoza,Ramos Arizpe,Con disponibilidad de terreno,1,624083.63
Linea IV,027,05,2015,Coahuila de Zaragoza,Ramos Arizpe,Ampliación y rehabilitación,592,265979.78
Linea V,027,05,2015,Coahuila de Zaragoza,Ramos Arizpe,Pago de pasivos,2,1089416.75
Linea II,028,05,2015,Coahuila de Zaragoza,Sabinas,Nueva,311,77328803.53
Linea II,028,05,2015,Coahuila de Zaragoza,Sabinas,Existente,422,131453709.51
Linea IV,028,05,2015,Coahuila de Zaragoza,Sabinas,Ampliación y rehabilitación,129,0.0
Linea II,029,05,2015,Coahuila de Zaragoza,Sacramento,Existente,10,3956526.07
Linea IV,029,05,2015,Coahuila de Zaragoza,Sacramento,Ampliación y rehabilitación,31,0.0
Linea II,030,05,2015,Coahuila de Zaragoza,Saltillo,Nueva,2433,761379291.8
Linea II,030,05,2015,Coahuila de Zaragoza,Saltillo,Existente,1820,624552695.79
Linea III,030,05,2015,Coahuila de Zaragoza,Saltillo,Con disponibilidad de terreno,5,3226249.17
Linea IV,030,05,2015,Coahuila de Zaragoza,Saltillo,Ampliación y rehabilitación,6488,1709822.86
Linea V,030,05,2015,Coahuila de Zaragoza,Saltillo,Pago de pasivos,6,2286656.9
Linea II,031,05,2015,Coahuila de Zaragoza,San Buenaventura,Nueva,11,3175485.11
Linea II,031,05,2015,Coahuila de Zaragoza,San Buenaventura,Existente,211,66217195.18
Linea IV,031,05,2015,Coahuila de Zaragoza,San Buenaventura,Ampliación y rehabilitación,244,0.0
Linea II,032,05,2015,Coahuila de Zaragoza,San Juan de Sabinas,Nueva,12,3930106.44
Linea II,032,05,2015,Coahuila de Zaragoza,San Juan de Sabinas,Existente,186,55900314.85
Linea IV,032,05,2015,Coahuila de Zaragoza,San Juan de Sabinas,Ampliación y rehabilitación,123,0.0
Linea II,033,05,2015,Coahuila de Zaragoza,San Pedro,Nueva,3,710214.69
Linea II,033,05,2015,Coahuila de Zaragoza,San Pedro,Existente,117,31885259.23
Linea IV,033,05,2015,Coahuila de Zaragoza,San Pedro,Ampliación y rehabilitación,1330,0.0
Linea II,034,05,2015,Coahuila de Zaragoza,Sierra Mojada,Existente,5,1531273.3
Linea IV,034,05,2015,Coahuila de Zaragoza,Sierra Mojada,Ampliación y rehabilitación,18,0.0
Linea II,035,05,2015,Coahuila de Zaragoza,Torreón,Nueva,3351,903751735.26
Linea II,035,05,2015,Coahuila de Zaragoza,Torreón,Existente,2196,603256381.16
Linea III,035,05,2015,Coahuila de Zaragoza,Torreón,Con disponibilidad de terreno,1,379137.28
Linea IV,035,05,2015,Coahuila de Zaragoza,Torreón,Ampliación y rehabilitación,2968,1201151.25
Linea V,035,05,2015,Coahuila de Zaragoza,Torreón,Pago de pasivos,16,7357036.04
Linea II,036,05,2015,Coahuila de Zaragoza,Viesca,Existente,1,243612.3
Linea IV,036,05,2015,Coahuila de Zaragoza,Viesca,Ampliación y rehabilitación,250,0.0
Linea II,037,05,2015,Coahuila de Zaragoza,Villa Unión,Nueva,1,308077.91
Linea II,037,05,2015,Coahuila de Zaragoza,Villa Unión,Existente,5,1388429.79
Linea IV,037,05,2015,Coahuila de Zaragoza,Villa Unión,Ampliación y rehabilitación,21,0.0
Linea II,038,05,2015,Coahuila de Zaragoza,Zaragoza,Nueva,10,3055047.74
Linea II,038,05,2015,Coahuila de Zaragoza,Zaragoza,Existente,5,1281780.7
Linea IV,038,05,2015,Coahuila de Zaragoza,Zaragoza,Ampliación y rehabilitación,10,0.0
Linea II,001,06,2015,Colima,Armería,Nueva,5,2000600.51
Linea II,001,06,2015,Colima,Armería,Existente,5,1353214.19
Linea III,001,06,2015,Colima,Armería,Con disponibilidad de terreno,1,370385.38
Linea IV,001,06,2015,Colima,Armería,Ampliación y rehabilitación,17,0.0
Linea II,002,06,2015,Colima,Colima,Nueva,536,152439869.73
Linea II,002,06,2015,Colima,Colima,Existente,321,96232254.71
Linea III,002,06,2015,Colima,Colima,Con disponibilidad de terreno,7,4261875.23
Linea IV,002,06,2015,Colima,Colima,Ampliación y rehabilitación,44,999920.52
Linea V,002,06,2015,Colima,Colima,Pago de pasivos,2,567383.48
Linea II,003,06,2015,Colima,Comala,Nueva,1,455756.66
Linea II,003,06,2015,Colima,Comala,Existente,4,1259475.13
Linea IV,003,06,2015,Colima,Comala,Ampliación y rehabilitación,1,0.0
Linea II,004,06,2015,Colima,Coquimatlán,Nueva,162,41571105.47
Linea II,004,06,2015,Colima,Coquimatlán,Existente,9,1542175.2
Linea IV,004,06,2015,Colima,Coquimatlán,Ampliación y rehabilitación,3,0.0
Linea II,005,06,2015,Colima,Cuauhtémoc,Nueva,33,9472218.32
Linea II,005,06,2015,Colima,Cuauhtémoc,Existente,38,11041693.61
Linea IV,005,06,2015,Colima,Cuauhtémoc,Ampliación y rehabilitación,8,0.0
Linea II,006,06,2015,Colima,Ixtlahuacán,Existente,1,223092.33
Linea II,007,06,2015,Colima,Manzanillo,Nueva,872,268865925.25
Linea II,007,06,2015,Colima,Manzanillo,Existente,301,101776077.65
Linea III,007,06,2015,Colima,Manzanillo,Con disponibilidad de terreno,1,346484.38
Linea IV,007,06,2015,Colima,Manzanillo,Ampliación y rehabilitación,1186,0.0
Linea V,007,06,2015,Colima,Manzanillo,Pago de pasivos,4,1170831.09
Linea II,008,06,2015,Colima,Minatitlán,Existente,4,1234516.01
Linea IV,008,06,2015,Colima,Minatitlán,Ampliación y rehabilitación,4,0.0
Linea II,009,06,2015,Colima,Tecomán,Nueva,288,84650649.01
Linea II,009,06,2015,Colima,Tecomán,Existente,174,47429153.57
Linea III,009,06,2015,Colima,Tecomán,Con disponibilidad de terreno,2,1210391.44
Linea IV,009,06,2015,Colima,Tecomán,Ampliación y rehabilitación,27,0.0
Linea V,009,06,2015,Colima,Tecomán,Pago de pasivos,3,636356.48
Linea II,010,06,2015,Colima,Villa de Álvarez,Nueva,1207,344147243.08
Linea II,010,06,2015,Colima,Villa de Álvarez,Existente,323,96795615.1
Linea III,010,06,2015,Colima,Villa de Álvarez,Con disponibilidad de terreno,1,278098.28
Linea IV,010,06,2015,Colima,Villa de Álvarez,Ampliación y rehabilitación,55,556523.82
Linea V,010,06,2015,Colima,Villa de Álvarez,Pago de pasivos,2,713209.25
Linea II,001,07,2015,Chiapas,Acacoyagua,Existente,2,857545.62
Linea IV,001,07,2015,Chiapas,Acacoyagua,Ampliación y rehabilitación,1,0.0
Linea II,002,07,2015,Chiapas,Acala,Existente,6,1983478.71
Linea IV,002,07,2015,Chiapas,Acala,Ampliación y rehabilitación,4,0.0
Linea II,003,07,2015,Chiapas,Acapetahua,Existente,3,1092223.38
Linea IV,003,07,2015,Chiapas,Acapetahua,Ampliación y rehabilitación,4,0.0
Linea IV,004,07,2015,Chiapas,Altamirano,Ampliación y rehabilitación,1,0.0
Linea II,008,07,2015,Chiapas,Ángel Albino Corzo,Existente,1,378881.13
Linea II,009,07,2015,Chiapas,Arriaga,Existente,36,12614773.82
Linea III,009,07,2015,Chiapas,Arriaga,Con disponibilidad de terreno,1,370173.13
Linea IV,009,07,2015,Chiapas,Arriaga,Ampliación y rehabilitación,37,0.0
Linea IV,011,07,2015,Chiapas,Bella Vista,Ampliación y rehabilitación,1,0.0
Linea II,012,07,2015,Chiapas,Berriozábal,Nueva,581,160126378.57
Linea II,012,07,2015,Chiapas,Berriozábal,Existente,40,12473626.5
Linea III,012,07,2015,Chiapas,Berriozábal,Con disponibilidad de terreno,1,417136.97
Linea IV,012,07,2015,Chiapas,Berriozábal,Ampliación y rehabilitación,12,0.0
Linea II,013,07,2015,Chiapas,Bochil,Existente,4,1381265.65
Linea IV,013,07,2015,Chiapas,Bochil,Ampliación y rehabilitación,2,0.0
Linea IV,014,07,2015,Chiapas,El Bosque,Ampliación y rehabilitación,1,0.0
Linea II,015,07,2015,Chiapas,Cacahoatán,Existente,5,1830707.42
Linea III,015,07,2015,Chiapas,Cacahoatán,Con disponibilidad de terreno,2,753459.97
Linea IV,015,07,2015,Chiapas,Cacahoatán,Ampliación y rehabilitación,15,0.0
Linea II,016,07,2015,Chiapas,Catazajá,Existente,2,359339.46
Linea IV,016,07,2015,Chiapas,Catazajá,Ampliación y rehabilitación,1,0.0
Linea II,017,07,2015,Chiapas,Cintalapa de Figueroa,Nueva,4,1679347.92
Linea II,017,07,2015,Chiapas,Cintalapa de Figueroa,Existente,14,5312565.89
Linea IV,017,07,2015,Chiapas,Cintalapa de Figueroa,Ampliación y rehabilitación,13,0.0
Linea II,019,07,2015,Chiapas,Comitán de Domínguez,Nueva,101,28349341.97
Linea II,019,07,2015,Chiapas,Comitán de Domínguez,Existente,31,11258366.9
Linea III,019,07,2015,Chiapas,Comitán de Domínguez,Con disponibilidad de terreno,4,1873911.25
Linea IV,019,07,2015,Chiapas,Comitán de Domínguez,Ampliación y rehabilitación,192,0.0
Linea II,020,07,2015,Chiapas,La Concordia,Existente,4,1912250.23
Linea IV,021,07,2015,Chiapas,Copainalá,Ampliación y rehabilitación,8,0.0
Linea IV,023,07,2015,Chiapas,Chamula,Ampliación y rehabilitación,2,0.0
Linea II,027,07,2015,Chiapas,Chiapa de Corzo,Nueva,312,106186083.09
Linea II,027,07,2015,Chiapas,Chiapa de Corzo,Existente,120,38257664.01
Linea IV,027,07,2015,Chiapas,Chiapa de Corzo,Ampliación y rehabilitación,62,0.0
Linea V,027,07,2015,Chiapas,Chiapa de Corzo,Pago de pasivos,1,275472.38
Linea IV,029,07,2015,Chiapas,Chicoasén,Ampliación y rehabilitación,4,0.0
Linea IV,030,07,2015,Chiapas,Chicomuselo,Ampliación y rehabilitación,1,0.0
Linea II,031,07,2015,Chiapas,Chilón,Existente,2,799293.81
Linea II,032,07,2015,Chiapas,Escuintla,Existente,3,1040161.04
Linea IV,032,07,2015,Chiapas,Escuintla,Ampliación y rehabilitación,4,0.0
Linea IV,034,07,2015,Chiapas,Frontera Comalapa,Ampliación y rehabilitación,28,0.0
Linea II,035,07,2015,Chiapas,Frontera Hidalgo,Existente,2,832971.0
Linea IV,035,07,2015,Chiapas,Frontera Hidalgo,Ampliación y rehabilitación,6,0.0
Linea II,037,07,2015,Chiapas,Huehuetán,Nueva,66,16081286.7
Linea II,037,07,2015,Chiapas,Huehuetán,Existente,5,2182829.88
Linea III,037,07,2015,Chiapas,Huehuetán,Con disponibilidad de terreno,1,505494.59
Linea IV,037,07,2015,Chiapas,Huehuetán,Ampliación y rehabilitación,10,0.0
Linea IV,038,07,2015,Chiapas,Huixtán,Ampliación y rehabilitación,1,0.0
Linea II,040,07,2015,Chiapas,Huixtla,Nueva,1,110991.96
Linea II,040,07,2015,Chiapas,Huixtla,Existente,33,10310342.46
Linea III,040,07,2015,Chiapas,Huixtla,Con disponibilidad de terreno,4,1190905.6
Linea IV,040,07,2015,Chiapas,Huixtla,Ampliación y rehabilitación,64,0.0
Linea IV,041,07,2015,Chiapas,La Independencia,Ampliación y rehabilitación,3,0.0
Linea IV,043,07,2015,Chiapas,Ixtacomitán,Ampliación y rehabilitación,2,0.0
Linea II,044,07,2015,Chiapas,Ixtapa,Existente,1,627768.44
Linea IV,044,07,2015,Chiapas,Ixtapa,Ampliación y rehabilitación,1,0.0
Linea II,046,07,2015,Chiapas,Jiquipilas,Existente,3,1601238.0
Linea IV,046,07,2015,Chiapas,Jiquipilas,Ampliación y rehabilitación,2,0.0
Linea II,047,07,2015,Chiapas,Jitotol,Existente,2,599565.78
Linea IV,047,07,2015,Chiapas,Jitotol,Ampliación y rehabilitación,1,0.0
Linea II,048,07,2015,Chiapas,Juárez,Existente,5,2066037.37
Linea IV,048,07,2015,Chiapas,Juárez,Ampliación y rehabilitación,1,0.0
Linea II,050,07,2015,Chiapas,La Libertad,Existente,1,411516.53
Linea II,051,07,2015,Chiapas,Mapastepec,Existente,6,2618645.75
Linea IV,051,07,2015,Chiapas,Mapastepec,Ampliación y rehabilitación,3,0.0
Linea II,052,07,2015,Chiapas,Las Margaritas,Existente,1,308780.97
Linea IV,052,07,2015,Chiapas,Las Margaritas,Ampliación y rehabilitación,4,0.0
Linea II,054,07,2015,Chiapas,Mazatán,Existente,2,976822.39
Linea IV,054,07,2015,Chiapas,Mazatán,Ampliación y rehabilitación,11,0.0
Linea II,055,07,2015,Chiapas,Metapa,Existente,3,949465.41
Linea III,055,07,2015,Chiapas,Metapa,Con disponibilidad de terreno,1,300186.75
Linea IV,055,07,2015,Chiapas,Metapa,Ampliación y rehabilitación,6,0.0
Linea IV,057,07,2015,Chiapas,Motozintla,Ampliación y rehabilitación,1,0.0
Linea II,059,07,2015,Chiapas,Ocosingo,Existente,7,2620969.45
